Row,xmin,xmax,xsize,ymin,ymax,ysize
s1_ln7_d1,69108.8,70970.5,6553,34920.1,36257.3,4707
s1_ln3_d1,65049.7,68480.9,12078,35449.9,36527.2,3792
s1_ln2_d1,64986.3,68678.9,12998,38335.3,39413.2,3794
s1_ln1_d1,64644.5,67813.5,11155,39715.2,41052.1,4706
s1_ln6_d1,69480.4,71341.2,6550,36221.6,37558.6,4706
s1_ln8_d2,69154.5,71795.4,9296,38284.2,39360.4,3788
s2_ln3_d2,78952.9,82382.4,12072,35912,36989.5,3793
s2_ln7_d2,83264.2,85386.6,7471,36750.3,38087.5,4707
s2_ln2_d2,78661,82351.9,12992,37667.1,38744.4,3792
s2_ln1_d2,78401.3,81829.7,12068,39077.4,40416,4712
s2_ln8_d2,83099.1,84960.2,6551,35398.2,36734.2,4703
s2_ln6_d3,78100.3,79962.2,6554,34281.7,35618,4704
s3_ln8_d3,87824.1,90208.7,8394,36501.7,37576.7,3784
s3_ln7_d3,87776.6,90160.7,8392,35038,36376.3,4711
s3_ln6_d3,87541.8,89403.1,6552,33722.3,35058.4,4703
s3_ln1_d3,82992.6,86421.9,12071,37617.5,38954.4,4706
s3_ln3_d3,83461.6,86892.3,12076,34628,35706.1,3795
s3_ln2_d3,83155.8,86848.1,12997,36174.5,37251.4,3791
